■頭部パーツ
○名称	タイプ	重量	スロット数	装甲	射撃補正	索敵	ロックオン	DEF回復	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
ヴァラーE	重量型	890	1	A-	D+	C-	D	B+	重量	845.5	スロット数	2	DEF回復	87
ヴァラーWS	重量型	870	1	B+	B-	D	D-	B-	重量	870	スロット数	2	DEF回復	62
ヴァラーHC	重量型	900	1	A	D	D+	C+	B	重量	855	スロット数	2	DEF回復	74.5
ヴァラーRAV	重量型	920	1	A	C	D-	D+	A-	重量	874	スロット数	2	DEF回復	99.5
シュライクI型	軽量型	460	1	E	C	C	C	B-	重量	437	スロット数	2	ロックオン	82
シュライクII型	軽量型	480	1	E	C	B	D+	B	重量	456	スロット数	2	ロックオン	72
シュライクV型	軽量型	460	1	E	B+	C-	B+	C+	重量	437	スロット数	2	ロックオン	112
シュライクW型	軽量型	480	1	E+	A-	C	B	B-	重量	456	スロット数	2	ロックオン	102
ヤクシャ	軽量型	520	1	D	B+	D	B-	D+	重量	494	スロット数	2	ロックオン	97
ヤクシャ・改	軽量型	510	1	D	B+	D-	A-	D	重量	510	スロット数	2	ロックオン	122
ヤクシャ・弐	軽量型	540	1	D	A-	C-	C+	C	重量	513	スロット数	2	ロックオン	92
ヤクシャ・零	軽量型	560	1	D+	A	E	A-	D+	重量	532	スロット数	2	ロックオン	122
セイバーI型	軽量型	490	1	D-	C-	A	B-	B-	重量	465.5	スロット数	2	ロックオン	97
セイバーI型R	軽量型	500	1	D-	C	B	A-	C-	重量	475	スロット数	2	ロックオン	122
セイバーII型	軽量型	550	1	D	C+	C	B+	C+	重量	522.5	スロット数	2	ロックオン	112
セイバーZX	軽量型	560	1	D+	B-	A+	B-	C+	重量	532	スロット数	2	ロックオン	97
ソリトン	軽量型	550	1	D	C+	C+	B	C	重量	522.5	スロット数	2	射撃補正	8
ソリトン・ノイズ	軽量型	560	1	D+	B-	C	B+	D+	重量	532	スロット数	2	射撃補正	12
ソリトン・リニア	軽量型	570	1	D	A-	B+	D	B-	重量	541.5	スロット数	2	射撃補正	24
ソリトン・フォノン	軽量型	580	1	C-	B+	E	B	C+	重量	551	スロット数	2	射撃補正	20
フォーミュラII型	軽量型	550	1	D-	B	D+	B-	B-	重量	522.5	スロット数	2	ロックオン	97
フォーミュラII型C	軽量型	530	1	D-	B+	D	B+	C	重量	503.5	スロット数	2	ロックオン	112
フォーミュラF型	軽量型	570	1	D	B+	C	C+	C+	重量	541.5	スロット数	2	ロックオン	92
フォーミュラMST	軽量型	532	2	D	A	D	C+	C+	重量	532	スロット数	3	ロックオン	92
ヴェクターN	軽量型	510	1	E+	B	C-	C-	B+	重量	484.5	スロット数	2	射撃補正	16
ヴェクターNb	軽量型	540	1	D-	C+	C+	C+	B	重量	513	スロット数	2	射撃補正	8
ヴェクターCE	軽量型	560	1	D	B+	D	C+	B-	重量	532	スロット数	2	射撃補正	20
ヴェクターREV	軽量型	570	1	D+	B+	D-	D+	B+	重量	541.5	スロット数	2	射撃補正	20

■胴部パーツ
○名称	タイプ	重量	スロット数	装甲	ブースター	SP供給	エリア移動	DEF耐久	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
クーガーI型	中量型	1300	1	C+	C+	D+	C+	C-	重量	1235	スロット数	2	ブースター	106
クーガーII型	中量型	1320	1	C+	B-	D+	C+	C	重量	1254	スロット数	2	ブースター	111
クーガーS型	中量型	1360	1	B	C	C+	C+	D+	重量	1292	スロット数	2	ブースター	101
クーガーNX	中量型	1370	1	B-	B+	D	B-	C+	重量	1301.5	スロット数	2	ブースター	121
エンフォーサーI型	中量型	1230	1	C	B-	D+	B-	D+	重量	1187.5	スロット数	2	ブースター	111
エンフォーサーII型	中量型	1340	1	B	C	D+	B-	D+	重量	1273	スロット数	2	ブースター	101
エンフォーサーIII型	中量型	1290	1	C	A	E+	C+	C+	重量	1225.5	スロット数	2	ブースター	131
エンフォーサーX型	中量型	1330	1	B-	B-	D-	A-	B-	重量	1263.5	スロット数	2	ブースター	111
ツェーブラA1	中量型	1200	1	C	C-	C	C+	D-	重量	1140	スロット数	2	エリア移動	4.2
ツェーブラA2	中量型	1210	1	C	E+	A-	C+	E+	重量	1149.5	スロット数	2	エリア移動	4.2
ツェーブラA4	中量型	1250	1	C	A-	D	C+	D	重量	1187.5	スロット数	2	エリア移動	4.2
ツェーブラ・アインス	中量型	1260	1	C	B+	C-	C+	C-	重量	1197	スロット数	2	エリア移動	4.2
E.D.G.－α	中量型	1230	1	D-	D	B-	A+	B+	重量	1168.5	スロット数	2	SP供給	52
E.D.G.－β	中量型	1270	1	D-	C+	C	A+	B	重量	1206.5	スロット数	2	SP供給	32
E.D.G.－δ	中量型	1290	1	D-	E	A	A+	D+	重量	1225.5	スロット数	2	SP供給	102
E.D.G.－θ	中量型	1220	1	D+	B	C-	A+	C	重量	1159	スロット数	2	SP供給	22
ディスカス・プロト	中量型	1320	1	B-	C-	C-	C+	C-	重量	1254	スロット数	2	SP供給	22
ディスカス・ダート	中量型	1216	1	C+	B-	D	C-	D+	重量	1216	スロット数	2	SP供給	2
ディスカス・ノヴァ	重量型	1430	1	B+	D+	B	C+	C	重量	1358.5	スロット数	2	SP供給	62
ディスカス・エヴォル	中量型	1390	1	B	B	C-	C+	C	重量	1320.5	スロット数	2	SP供給	22
迅牙	中量型	1240	1	D+	C	C	A-	C-	重量	1178	スロット数	2	SP供給	32
迅牙・甲	中量型	1310	1	C+	C+	C-	C+	C-	重量	1244.5	スロット数	2	SP供給	22
迅牙・真	中量型	1340	1	C+	C-	B-	B+	C+	重量	1273	スロット数	2	SP供給	52
迅牙・飛天	中量型	1380	1	B+	C+	C-	C+	D+	重量	1311	スロット数	2	SP供給	22
雷花	中量型	1150	1	C-	C+	C-	B+	D-	重量	1092.5	スロット数	2	ブースター	106
雷花・燕	中量型	1140	1	D+	C	B-	B	E+	重量	1083	スロット数	2	ブースター	101
雷花・麗	中量型	1300	1	C	A-	D	B-	C	重量	1235	スロット数	2	ブースター	126
雷花・燐	中量型	1260	1	C-	B	D	B+	B+	重量	1197	スロット数	2	ブースター	116
ザオレン	中量型	1310	1	C	C+	C	C-	C-	重量	1244.5	スロット数	2	SP供給	32
ザオレン・ガイ	中量型	1330	1	C+	C	B-	C-	C-	重量	1263.5	スロット数	2	SP供給	52
ザオレン・リアン	中量型	1350	1	C	D+	A-	D	D+	重量	1282.5	スロット数	2	SP供給	82
ザオレン・ダジアン	中量型	1360	1	C+	B	B-	D+	C	重量	1292	スロット数	2	SP供給	52
輝星・壱式	中量型	1330	1	C+	B	D	C+	C+	重量	1263.5	スロット数	2	DEF耐久	3320
輝星・弐式	中量型	1360	1	B-	C+	C-	B-	C	重量	1292	スロット数	2	DEF耐久	3070
輝星・参式	中量型	1350	1	C+	A-	D-	C+	B-	重量	1282.5	スロット数	2	DEF耐久	3570
輝星・空式	中量型	1370	1	B-	B	D+	C	B-	重量	1301.5	スロット数	2	DEF耐久	3570
ヘヴィガードI型	重量型	1480	1	A-	C+	C-	D-	C	重量	1406	スロット数	2	DEF耐久	3070
ヘヴィガードIII型	重量型	1600	1	A+	B	D+	E+	D+	重量	1520	スロット数	2	DEF耐久	2570
ヘヴィガードIV型	重量型	1550	1	A	B+	D+	E+	C+	重量	1472.5	スロット数	2	DEF耐久	3320
ヘヴィガードG型	重量型	1610	1	A+	C	C+	E+	B-	重量	1529.5	スロット数	2	DEF耐久	3570
ケーファーB2	重量型	1420	1	B-	B-	C-	D+	C	重量	1349	スロット数	2	装甲	11
ケーファーB4	重量型	1470	1	B	C+	C	D+	C	重量	1396.5	スロット数	2	装甲	16
ケーファーB5	重量型	1490	1	B	C	B-	D+	C+	重量	1415.5	スロット数	2	装甲	16
ケーファー・ヴァッヘ	重量型	1500	1	B+	A	D	D+	C-	重量	1453.5	スロット数	2	装甲	21
ランドバルクI型	重量型	1410	1	B	B+	D+	C-	D-	重量	1339.5	スロット数	2	エリア移動	4.7
ランドバルクII型	重量型	1440	1	B+	C-	C-	B+	C-	重量	1368	スロット数	2	エリア移動	3.2
ランドバルクIV型	重量型	1430	1	B	A	E+	C-	C	重量	1358.5	スロット数	2	エリア移動	4.7
ランドバルクAT	重量型	1500	1	A	B-	D+	C+	C+	重量	1425	スロット数	2	エリア移動	4.2
ヤーデN4	重量型	1430	1	A-	C	C-	D+	C-	重量	1358.5	スロット数	2	エリア移動	4.95
ヤーデN4S	重量型	1540	1	A	B+	D-	D-	C	重量	1463	スロット数	2	エリア移動	5.7
ヤーデN5	重量型	1440	1	A+	C+	D	D+	C-	重量	1368	スロット数	2	エリア移動	4.95
ヤーデ・マイスター	重量型	1500	1	S-	B-	D-	D	C+	重量	1425	スロット数	2	エリア移動	5.2
ジーシェン	重量型	1500	1	B+	C-	B	C-	D+	重量	1425	スロット数	2	スロット数	3
ジーシェン・フー	重量型	1520	1	A-	B	D+	D+	D+	重量	1444	スロット数	2	スロット数	3
ジーシェン・シー	重量型	1540	1	B+	C+	C+	D	C+	重量	1463	スロット数	2	スロット数	3
ジーシェン・パイロン	重量型	1570	1	A-	A+	D-	D+	C+	重量	1491.5	スロット数	2	スロット数	3
ロージーR	重量型	1620	1	A+	C	C	D-	D	重量	1539	スロット数	2	装甲	35
ロージーR＋	重量型	1640	1	A+	D	A-	D-	D-	重量	1558	スロット数	2	装甲	35
ロージーLM	重量型	1610	1	A+	A+	E+	D	D	重量	1529.5	スロット数	2	装甲	35
ロージーEVE	重量型	1660	1	S	C	D	D-	C+	重量	1577	スロット数	2	装甲	43
ライノス	重量型	1450	1	B+	B	C-	C	D-	重量	1377.5	スロット数	2	SP供給	15
ライノス・ウェリ	重量型	1420	1	B+	B+	D+	C	E+	重量	1349	スロット数	2	SP供給	12
ライノス・ホプロ	重量型	1480	1	A-	A	D	C-	D	重量	1406	スロット数	2	SP供給	2
ライノス・レギオ	重量型	1510	1	A	A-	C-	D+	D+	重量	1434.5	スロット数	2	SP供給	22
ヴァラーE	重量型	1620	1	A-	C	C-	E+	A-	重量	1539	スロット数	2	DEF耐久	4320
ヴァラーWS	重量型	1560	1	B+	C+	C-	D-	B	重量	1482	スロット数	2	DEF耐久	3820
ヴァラーHC	重量型	1630	1	A	B	D+	E+	B+	重量	1548.5	スロット数	2	DEF耐久	4070
ヴァラーRAV	重量型	1650	1	A	C-	B-	D-	A	重量	1567.5	スロット数	2	DEF耐久	4570
シュライクI型	軽量型	1010	1	E	C	D+	A+	D+	重量	959.5	スロット数	2	ブースター	101
シュライクII型	軽量型	1060	1	E	B	E	A+	C	重量	1007	スロット数	2	ブースター	116
シュライクV型	軽量型	1100	1	D-	C-	C+	A+	D	重量	1045	スロット数	2	ブースター	96
シュライクW型	軽量型	1130	1	D-	B	D-	A+	B+	重量	1073.5	スロット数	2	ブースター	116
ヤクシャ	軽量型	1170	1	D	B	D+	A	D+	重量	1170	スロット数	2	ブースター	116
ヤクシャ・改	軽量型	1180	1	D-	A	E+	B+	C-	重量	1121	スロット数	2	ブースター	131
ヤクシャ・弐	軽量型	1190	1	D+	B	C	B+	D+	重量	1130.5	スロット数	2	ブースター	116
ヤクシャ・零	軽量型	1190	1	D+	A-	C-	A-	D+	重量	1130.5	スロット数	2	ブースター	126
セイバーI型	軽量型	1160	1	D-	B-	D	A+	C	重量	1102	スロット数	2	SP供給	2
セイバーI型R	軽量型	1180	1	D-	C+	C-	A	C-	重量	1121	スロット数	2	SP供給	22
セイバーII型	軽量型	1190	1	D	A	E+	A+	C	重量	1130.5	スロット数	2	SP供給	-23
セイバーZX	軽量型	1230	1	D+	A+	E+	A	C	重量	1168.5	スロット数	2	SP供給	-23
ソリトン	軽量型	1200	1	D+	B-	C-	B+	D+	重量	1140	スロット数	2	SP供給	22
ソリトン・ノイズ	軽量型	1180	1	D	C-	C+	A-	C-	重量	1121	スロット数	2	SP供給	47
ソリトン・リニア	軽量型	1250	1	D+	C-	B-	B+	B-	重量	1187.5	スロット数	2	SP供給	52
ソリトン・フォノン	軽量型	1260	1	C-	A-	D	B+	B-	重量	1197	スロット数	2	SP供給	2
フォーミュラII型	軽量型	1120	1	D-	C-	C+	A	C-	重量	1064	スロット数	2	SP供給	47
フォーミュラII型C	軽量型	1150	1	D-	B	D+	A	D+	重量	1092.5	スロット数	2	SP供給	12
フォーミュラF型	軽量型	1210	1	D+	D+	B	A	C+	重量	1149.5	スロット数	2	SP供給	62
フォーミュラMST	軽量型	1240	2	D+	B+	D	A-	C+	重量	1178	スロット数	3	SP供給	2
ヴェクターN	軽量型	1140	1	E+	C	C	C+	B+	重量	1083	スロット数	2	エリア移動	4.2
ヴェクターNb	軽量型	1110	1	E	C-	C+	B-	B	重量	1054.5	スロット数	2	エリア移動	3.7
ヴェクターCE	軽量型	1170	1	D	C	B-	C	B-	重量	1111.5	スロット数	2	エリア移動	4.45
ヴェクターREV	軽量型	1200	1	D+	C+	C+	C-	B	重量	1140	スロット数	2	エリア移動	4.7

■腕部パーツ
○名称	タイプ	重量	スロット数	装甲	反動吸収	リロード	武器変更	予備弾数	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
クーガーI型	中量型	840	1	C+	C-	C-	C-	D-	重量	798	スロット数	2	リロード	4
クーガーII型	中量型	890	1	C+	B-	D	C-	C+	重量	845.5	スロット数	2	リロード	-5
クーガーS型	中量型	920	1	B	B	C-	C-	B+	重量	874	スロット数	2	リロード	4
クーガーNX	中量型	950	1	B-	C-	C+	B-	B-	重量	902.5	スロット数	2	リロード	13
エンフォーサーI型	中量型	800	1	C	C-	C+	C+	C-	重量	760	スロット数	2	予備弾数	23
エンフォーサーII型	中量型	880	1	B	C-	C+	D	C	重量	836	スロット数	2	予備弾数	28
エンフォーサーIII型	中量型	890	1	C+	B+	C+	D	B-	重量	845.5	スロット数	2	予備弾数	38
エンフォーサーX型	中量型	890	1	B	B+	C	D+	C+	重量	845.5	スロット数	2	予備弾数	33
ツェーブラA1	中量型	800	1	C	C+	C+	E+	B	重量	760	スロット数	2	リロード	13
ツェーブラA2	中量型	820	1	D+	D+	B+	E	B-	重量	779	スロット数	2	リロード	26.5
ツェーブラA4	中量型	860	1	C+	A+	C	E	B+	重量	817	スロット数	2	リロード	8.5
ツェーブラ・アインス	中量型	870	1	C+	A-	C+	D+	C	重量	826.5	スロット数	2	リロード	13
E.D.G.－α	中量型	850	1	D	C-	B	C-	C	重量	850	スロット数	2	リロード	22
E.D.G.－β	中量型	860	1	D	A	B-	C-	C+	重量	817	スロット数	2	リロード	17.5
E.D.G.－δ	中量型	870	1	D-	E	A	C	D	重量	826.5	スロット数	2	リロード	35.5
E.D.G.－θ	中量型	880	1	D+	D+	B+	C	D+	重量	836	スロット数	2	リロード	26.5
ディスカス・プロト	中量型	920	1	B-	C	D+	D	B+	重量	874	スロット数	2	武器変更	-2
ディスカス・ダート	中量型	830	1	C-	D+	C+	C+	C	重量	788.5	スロット数	2	武器変更	18
ディスカス・ノヴァ	重量型	1050	1	A-	A-	D+	D+	A-	重量	997.5	スロット数	2	武器変更	3
ディスカス・エヴォル	中量型	960	1	B	C	C	B-	B-	重量	912	スロット数	2	武器変更	28
迅牙	中量型	780	1	C-	C-	C-	A-	C	重量	741	スロット数	2	予備弾数	28
迅牙・甲	中量型	880	1	C	C	C+	C+	C	重量	836	スロット数	2	予備弾数	28
迅牙・真	中量型	900	1	C+	A	B-	D-	B-	重量	855	スロット数	2	予備弾数	38
迅牙・飛天	中量型	910	1	B-	C+	B-	C-	B-	重量	864.5	スロット数	2	予備弾数	38
雷花	中量型	850	1	C+	D+	C+	C	C-	重量	807.5	スロット数	2	反動吸収	7
雷花・燕	中量型	800	1	D+	D-	B+	C+	D	重量	760	スロット数	2	反動吸収	-3
雷花・麗	中量型	910	1	B-	C	B	D	C+	重量	864.5	スロット数	2	反動吸収	17
雷花・燐	中量型	880	1	C+	C-	A-	D	C-	重量	836	スロット数	2	反動吸収	12
ザオレン	中量型	870	1	C-	B	C+	C	C	重量	826.5	スロット数	2	予備弾数	28
ザオレン・ガイ	中量型	880	1	C	A-	C	D+	C+	重量	836	スロット数	2	予備弾数	33
ザオレン・リアン	中量型	860	1	C+	C-	B	C	C-	重量	817	スロット数	2	予備弾数	23
ザオレン・ダジアン	中量型	900	1	C	B-	B-	C	B-	重量	855	スロット数	2	予備弾数	38
輝星・壱式	中量型	850	1	C+	C+	C+	D+	C	重量	807.5	スロット数	2	武器変更	3
輝星・弐式	中量型	840	1	C	C+	C+	C+	D+	重量	798	スロット数	2	武器変更	18
輝星・参式	中量型	920	1	B-	B	C-	B-	B-	重量	874	スロット数	2	武器変更	28
輝星・空式	中量型	940	1	B-	D	B-	B-	C+	重量	893	スロット数	2	武器変更	28
ヘヴィガードI型	重量型	1030	1	A	B-	E+	D-	A-	重量	978.5	スロット数	2	反動吸収	27
ヘヴィガードIII型	重量型	1150	1	A+	A-	E	D-	A+	重量	1092.5	スロット数	2	反動吸収	42
ヘヴィガードIV型	重量型	1080	1	A	C+	D+	D+	A+	重量	1026	スロット数	2	反動吸収	22
ヘヴィガードG型	重量型	1100	1	A+	B+	C-	D-	A-	重量	1045	スロット数	2	反動吸収	37
ケーファーB2	重量型	960	1	B+	C+	D	D	A-	重量	912	スロット数	2	反動吸収	22
ケーファーB4	重量型	940	1	B	C-	D	C+	B+	重量	893	スロット数	2	反動吸収	12
ケーファーB5	重量型	1010	1	B+	A-	E+	C-	A+	重量	959.5	スロット数	2	反動吸収	42
ケーファー・ヴァッヘ	重量型	1030	1	A-	B-	D-	B-	A-	重量	978.5	スロット数	2	反動吸収	27
ランドバルクI型	重量型	930	1	B	C-	C+	D	B	重量	883.5	スロット数	2	リロード	13
ランドバルクII型	重量型	980	1	B	A-	C+	D-	B+	重量	931	スロット数	2	リロード	13
ランドバルクIV型	重量型	970	1	B	D-	C+	C	B	重量	921.5	スロット数	2	リロード	13
ランドバルクAT	重量型	1060	1	A-	C	B-	D+	B	重量	1007	スロット数	2	リロード	17.5
ヤーデN4	重量型	970	1	A-	C-	D+	C	B	重量	921.5	スロット数	2	反動吸収	12
ヤーデN4S	重量型	1040	1	A	B+	D	D	B+	重量	988	スロット数	2	反動吸収	37
ヤーデN5	重量型	980	1	A+	D+	D	C	A-	重量	931	スロット数	2	反動吸収	7
ヤーデ・マイスター	重量型	1030	1	A+	C+	C	D	B	重量	978.5	スロット数	2	反動吸収	22
ジーシェン	重量型	990	1	B+	C	C	C-	B-	重量	940.5	スロット数	2	スロット数	3
ジーシェン・フー	重量型	980	1	B	C-	C	C+	C+	重量	931	スロット数	2	スロット数	3
ジーシェン・シー	重量型	1010	1	A-	B+	D	C	B+	重量	959.5	スロット数	2	スロット数	3
ジーシェン・パイロン	重量型	1060	1	A	B-	D+	C+	B+	重量	1007	スロット数	2	スロット数	3
ロージーR	重量型	1090	1	A+	B-	D+	E+	A-	重量	1035.5	スロット数	2	装甲	35
ロージーR＋	重量型	1110	1	A+	A-	D	E	A+	重量	1054.5	スロット数	2	装甲	35
ロージーLM	重量型	1060	1	A	C	C	D	B+	重量	1007	スロット数	2	装甲	28
ロージーEVE	重量型	1180	2	S	B	D-	E+	A+	重量	1121	スロット数	3	装甲	43
ライノス	重量型	1020	1	B+	C	C+	D-	B	重量	1020	スロット数	2	リロード	13
ライノス・ウェリ	重量型	950	1	B	D+	C+	C	C	重量	902.5	スロット数	2	リロード	13
ライノス・ホプロ	重量型	1050	1	A-	B	B-	E	B+	重量	997.5	スロット数	2	リロード	17.5
ライノス・レギオ	重量型	1070	1	A	B-	B	E+	B	重量	1016.5	スロット数	2	リロード	22
ヴァラーE	重量型	1080	1	B+	C	D+	B-	B	重量	1080	スロット数	2	武器変更	28
ヴァラーWS	重量型	1040	1	B	D	C-	B+	B-	重量	988	スロット数	2	武器変更	38
ヴァラーHC	重量型	1100	1	A-	C+	D+	C+	A-	重量	1045	スロット数	2	武器変更	18
ヴァラーRAV	重量型	1120	1	A-	D+	C+	B-	B+	重量	1064	スロット数	2	武器変更	28
シュライクI型	軽量型	680	1	D-	D	C+	C+	D-	重量	646	スロット数	2	武器変更	18
シュライクII型	軽量型	630	1	E	E	B	B	D-	重量	598.5	スロット数	2	武器変更	33
シュライクV型	軽量型	720	1	D-	C-	B	C	D+	重量	684	スロット数	2	武器変更	13
シュライクW型	軽量型	670	1	E	D-	A	C-	D-	重量	636.5	スロット数	2	武器変更	8
ヤクシャ	軽量型	790	1	D+	D-	C+	B-	C	重量	790	スロット数	2	武器変更	28
ヤクシャ・改	軽量型	740	1	D	E-	B-	A-	D-	重量	703	スロット数	2	武器変更	43
ヤクシャ・弐	軽量型	790	1	D+	B-	C-	B	C+	重量	750.5	スロット数	2	武器変更	33
ヤクシャ・零	軽量型	760	1	D+	D-	B	B-	C-	重量	722	スロット数	2	武器変更	28
セイバーI型	軽量型	690	1	D-	D	C-	A+	C-	重量	655.5	スロット数	2	予備弾数	23
セイバーI型R	軽量型	680	1	E	A-	D	B+	C	重量	646	スロット数	2	予備弾数	28
セイバーII型	軽量型	710	1	D	D	B-	B	D+	重量	674.5	スロット数	2	予備弾数	18
